SOUID,DATE,HUMIDITY,QUALITY
129543,19460101,84,0
129543,19460102,74,0
129543,19460103,71,0
129543,19460104,79,0
129543,19460105,86,0
129543,19460106,93,0
129543,19460107,95,0
129543,19460108,94,0
129543,19460109,94,0
129543,19460110,86,0
129543,19460111,72,0
129543,19460112,86,0
129543,19460113,82,0
129543,19460114,77,0
129543,19460115,73,0
129543,19460116,75,0
129543,19460117,76,0
129543,19460118,76,0
129543,19460119,89,0
129543,19460120,89,0
129543,19460121,91,0
129543,19460122,86,0
129543,19460123,92,0
129543,19460124,85,0
129543,19460125,86,0
129543,19460126,93,0
129543,19460127,98,0
129543,19460128,98,0
129543,19460129,91,0
129543,19460130,87,0
129543,19460131,79,0
129543,19460201,70,0
129543,19460202,80,0
129543,19460203,59,0
129543,19460204,69,0
129543,19460205,79,0
129543,19460206,85,0
129543,19460207,87,0
129543,19460208,73,0
129543,19460209,82,0
129543,19460210,82,0
129543,19460211,82,0
129543,19460212,83,0
129543,19460213,71,0
129543,19460214,73,0
129543,19460215,84,0
129543,19460216,89,0
129543,19460217,80,0
129543,19460218,81,0
129543,19460219,86,0
129543,19460220,86,0
129543,19460221,91,0
129543,19460222,84,0
129543,19460223,87,0
129543,19460224,75,0
129543,19460225,91,0
129543,19460226,96,0
129543,19460227,70,0
129543,19460228,75,0
129543,19460301,76,0
129543,19460302,71,0
129543,19460303,82,0
129543,19460304,81,0
129543,19460305,76,0
129543,19460306,81,0
129543,19460307,86,0
129543,19460308,89,0
129543,19460309,86,0
129543,19460310,86,0
129543,19460311,76,0
129543,19460312,80,0
129543,19460313,71,0
129543,19460314,92,0
129543,19460315,82,0
129543,19460316,83,0
129543,19460317,74,0
129543,19460318,66,0
129543,19460319,51,0
129543,19460320,60,0
129543,19460321,68,0
129543,19460322,53,0
129543,19460323,57,0
129543,19460324,96,0
129543,19460325,87,0
129543,19460326,74,0
129543,19460327,65,0
129543,19460328,76,0
129543,19460329,70,0
129543,19460330,65,0
129543,19460331,66,0
129543,19460401,69,0
129543,19460402,57,0
129543,19460403,59,0
129543,19460404,53,0
129543,19460405,48,0
129543,19460406,72,0
129543,19460407,73,0
129543,19460408,77,0
129543,19460409,72,0
129543,19460410,61,0
129543,19460411,56,0
129543,19460412,62,0
129543,19460413,50,0
129543,19460414,59,0
129543,19460415,62,0
129543,19460416,72,0
129543,19460417,76,0
129543,19460418,80,0
129543,19460419,90,0
129543,19460420,58,0
129543,19460421,69,0
129543,19460422,72,0
129543,19460423,71,0
129543,19460424,73,0
129543,19460425,65,0
129543,19460426,48,0
129543,19460427,72,0
129543,19460428,66,0
129543,19460429,67,0
129543,19460430,61,0
129543,19460501,69,0
129543,19460502,62,0
129543,19460503,56,0
129543,19460504,64,0
129543,19460505,72,0
129543,19460506,74,0
129543,19460507,77,0
129543,19460508,95,0
129543,19460509,75,0
129543,19460510,60,0
129543,19460511,64,0
129543,19460512,77,0
129543,19460513,64,0
129543,19460514,81,0
129543,19460515,96,0
129543,19460516,80,0
129543,19460517,74,0
129543,19460518,76,0
129543,19460519,67,0
129543,19460520,71,0
129543,19460521,97,0
129543,19460522,93,0
129543,19460523,91,0
129543,19460524,82,0
129543,19460525,77,0
129543,19460526,90,0
129543,19460527,74,0
129543,19460528,69,0
129543,19460529,75,0
129543,19460530,69,0
129543,19460531,76,0
129543,19460601,78,0
129543,19460602,84,0
129543,19460603,66,0
129543,19460604,74,0
129543,19460605,72,0
129543,19460606,71,0
129543,19460607,74,0
129543,19460608,76,0
129543,19460609,85,0
129543,19460610,82,0
129543,19460611,81,0
129543,19460612,80,0
129543,19460613,96,0
129543,19460614,70,0
129543,19460615,75,0
129543,19460616,90,0
129543,19460617,79,0
129543,19460618,81,0
129543,19460619,78,0
129543,19460620,70,0
129543,19460621,84,0
129543,19460622,87,0
129543,19460623,94,0
129543,19460624,85,0
129543,19460625,94,0
129543,19460626,77,0
129543,19460627,75,0
129543,19460628,65,0
129543,19460629,72,0
129543,19460630,70,0
129543,19460701,72,0
129543,19460702,69,0
129543,19460703,66,0
129543,19460704,69,0
129543,19460705,78,0
129543,19460706,95,0
129543,19460707,97,0
129543,19460708,94,0
129543,19460709,90,0
129543,19460710,73,0
129543,19460711,73,0
129543,19460712,63,0
129543,19460713,65,0
129543,19460714,79,0
129543,19460715,70,0
129543,19460716,74,0
129543,19460717,76,0
129543,19460718,84,0
129543,19460719,77,0
129543,19460720,74,0
129543,19460721,92,0
129543,19460722,77,0
129543,19460723,73,0
129543,19460724,79,0
129543,19460725,77,0
129543,19460726,73,0
129543,19460727,70,0
129543,19460728,95,0
129543,19460729,75,0
129543,19460730,78,0
129543,19460731,70,0
129543,19460801,70,0
129543,19460802,67,0
129543,19460803,67,0
129543,19460804,72,0
129543,19460805,70,0
129543,19460806,72,0
129543,19460807,70,0
129543,19460808,70,0
129543,19460809,73,0
129543,19460810,74,0
129543,19460811,96,0
129543,19460812,77,0
129543,19460813,76,0
129543,19460814,77,0
129543,19460815,70,0
129543,19460816,77,0
129543,19460817,81,0
129543,19460818,93,0
129543,19460819,94,0
129543,19460820,81,0
129543,19460821,79,0
129543,19460822,86,0
129543,19460823,86,0
129543,19460824,77,0
129543,19460825,77,0
129543,19460826,89,0
129543,19460827,87,0
129543,19460828,80,0
129543,19460829,79,0
129543,19460830,90,0
129543,19460831,86,0
129543,19460901,91,0
129543,19460902,86,0
129543,19460903,79,0
129543,19460904,90,0
129543,19460905,84,0
129543,19460906,97,0
129543,19460907,81,0
129543,19460908,86,0
129543,19460909,76,0
129543,19460910,80,0
129543,19460911,76,0
129543,19460912,73,0
129543,19460913,85,0
129543,19460914,76,0
129543,19460915,87,0
129543,19460916,88,0
129543,19460917,85,0
129543,19460918,89,0
129543,19460919,85,0
129543,19460920,71,0
129543,19460921,75,0
129543,19460922,82,0
129543,19460923,85,0
129543,19460924,76,0
129543,19460925,83,0
129543,19460926,79,0
129543,19460927,89,0
129543,19460928,86,0
129543,19460929,90,0
129543,19460930,86,0
129543,19461001,92,0
129543,19461002,88,0
129543,19461003,89,0
129543,19461004,93,0
129543,19461005,91,0
129543,19461006,91,0
129543,19461007,84,0
129543,19461008,83,0
129543,19461009,81,0
129543,19461010,77,0
129543,19461011,77,0
129543,19461012,64,0
129543,19461013,86,0
129543,19461014,89,0
129543,19461015,83,0
129543,19461016,76,0
129543,19461017,89,0
129543,19461018,86,0
129543,19461019,91,0
129543,19461020,85,0
129543,19461021,91,0
129543,19461022,84,0
129543,19461023,94,0
129543,19461024,81,0
129543,19461025,69,0
129543,19461026,82,0
129543,19461027,84,0
129543,19461028,84,0
129543,19461029,84,0
129543,19461030,81,0
129543,19461031,80,0
