SOUID,DATE,PRESSURE,QUALITY
102403,19721101,10254,0
102403,19721102,10304,0
102403,19721103,10292,0
102403,19721104,10282,0
102403,19721105,10305,0
102403,19721106,10322,0
102403,19721107,10282,0
102403,19721108,10256,0
102403,19721109,10262,0
102403,19721110,10180,0
102403,19721111,10116,0
102403,19721112,10150,0
102403,19721113,10055,0
102403,19721114,10072,0
102403,19721115,10213,0
102403,19721116,10161,0
102403,19721117,10071,0
102403,19721118,10163,0
102403,19721119,10161,0
102403,19721120,10029,0
102403,19721121,10053,0
102403,19721122,10130,0
102403,19721123,10195,0
102403,19721124,10222,0
102403,19721125,10319,0
102403,19721126,10343,0
102403,19721127,10383,0
102403,19721128,10294,0
102403,19721129,10234,0
102403,19721130,10103,0
102403,19721201,10134,0
102403,19721202,10135,0
102403,19721203,10131,0
102403,19721204,10205,0
102403,19721205,10252,0
102403,19721206,10253,0
102403,19721207,10168,0
102403,19721208,10154,0
102403,19721209,10212,0
102403,19721210,10291,0
102403,19721211,10311,0
102403,19721212,10300,0
102403,19721213,10343,0
102403,19721214,10360,0
102403,19721215,10328,0
102403,19721216,10342,0
102403,19721217,10341,0
102403,19721218,10344,0
102403,19721219,10362,0
102403,19721220,10356,0
102403,19721221,10346,0
102403,19721222,10350,0
102403,19721223,10320,0
102403,19721224,10304,0
102403,19721225,10268,0
102403,19721226,10261,0
102403,19721227,10216,0
102403,19721228,10184,0
102403,19721229,10211,0
102403,19721230,10276,0
102403,19721231,10291,0
102403,19730101,10263,0
102403,19730102,10288,0
102403,19730103,10297,0
102403,19730104,10331,0
102403,19730105,10344,0
102403,19730106,10363,0
102403,19730107,10360,0
102403,19730108,10348,0
102403,19730109,10331,0
102403,19730110,10302,0
102403,19730111,10317,0
102403,19730112,10326,0
102403,19730113,10278,0
102403,19730114,10245,0
102403,19730115,10115,0
102403,19730116,10102,0
102403,19730117,10066,0
102403,19730118,10141,0
102403,19730119,10152,0
102403,19730120,10111,0
102403,19730121,10135,0
102403,19730122,10223,0
102403,19730123,10342,0
102403,19730124,10352,0
102403,19730125,10319,0
102403,19730126,10280,0
102403,19730127,10141,0
102403,19730128,10164,0
102403,19730129,10253,0
102403,19730130,10215,0
102403,19730131,10160,0
102403,19730201,10180,0
102403,19730202,10248,0
102403,19730203,10308,0
102403,19730204,10351,0
102403,19730205,10336,0
102403,19730206,10310,0
102403,19730207,10233,0
102403,19730208,10193,0
102403,19730209,10120,0
102403,19730210,10104,0
102403,19730211,10167,0
102403,19730212,10156,0
102403,19730213,9947,0
102403,19730214,9938,0
102403,19730215,9944,0
102403,19730216,10030,0
102403,19730217,10155,0
102403,19730218,10180,0
102403,19730219,10222,0
102403,19730220,10280,0
102403,19730221,10274,0
102403,19730222,10189,0
102403,19730223,10136,0
102403,19730224,10044,0
102403,19730225,10090,0
102403,19730226,10124,0
102403,19730227,10234,0
102403,19730228,10349,0
102403,19730301,10333,0
102403,19730302,10288,0
102403,19730303,10334,0
102403,19730304,10327,0
102403,19730305,10300,0
102403,19730306,10239,0
102403,19730307,10270,0
102403,19730308,10328,0
102403,19730309,10295,0
102403,19730310,10289,0
102403,19730311,10264,0
102403,19730312,10187,0
102403,19730313,10162,0
102403,19730314,10171,0
102403,19730315,10222,0
102403,19730316,10254,0
102403,19730317,10246,0
102403,19730318,10196,0
102403,19730319,10225,0
102403,19730320,10298,0
102403,19730321,10299,0
102403,19730322,10264,0
102403,19730323,10214,0
102403,19730324,10169,0
102403,19730325,10148,0
102403,19730326,10203,0
102403,19730327,10188,0
102403,19730328,10152,0
102403,19730329,10192,0
102403,19730330,10174,0
102403,19730331,10202,0
102403,19730401,10207,0
102403,19730402,10100,0
102403,19730403,10175,0
102403,19730404,10314,0
102403,19730405,10279,0
102403,19730406,10188,0
102403,19730407,10146,0
102403,19730408,10115,0
102403,19730409,10047,0
102403,19730410,10028,0
102403,19730411,10150,0
102403,19730412,10151,0
102403,19730413,10206,0
102403,19730414,10268,0
102403,19730415,10260,0
102403,19730416,10260,0
102403,19730417,10259,0
102403,19730418,10191,0
102403,19730419,10105,0
102403,19730420,10095,0
102403,19730421,10120,0
102403,19730422,10114,0
102403,19730423,10105,0
102403,19730424,10068,0
102403,19730425,10132,0
102403,19730426,10180,0
102403,19730427,10144,0
102403,19730428,10069,0
102403,19730429,10072,0
102403,19730430,10142,0
102403,19730501,10106,0
102403,19730502,10121,0
102403,19730503,10109,0
102403,19730504,10118,0
102403,19730505,10125,0
102403,19730506,10212,0
102403,19730507,10175,0
102403,19730508,10204,0
102403,19730509,10260,0
102403,19730510,10194,0
102403,19730511,10210,0
102403,19730512,10257,0
102403,19730513,10234,0
102403,19730514,10193,0
102403,19730515,10198,0
102403,19730516,10195,0
102403,19730517,10149,0
102403,19730518,10113,0
102403,19730519,10041,0
102403,19730520,10063,0
102403,19730521,10086,0
102403,19730522,10142,0
102403,19730523,10194,0
102403,19730524,10240,0
102403,19730525,10251,0
102403,19730526,10236,0
102403,19730527,10208,0
102403,19730528,10172,0
102403,19730529,10168,0
102403,19730530,10138,0
102403,19730531,10112,0
102403,19730601,10092,0
102403,19730602,10158,0
102403,19730603,10193,0
102403,19730604,10205,0
102403,19730605,10212,0
102403,19730606,10197,0
102403,19730607,10176,0
102403,19730608,10149,0
102403,19730609,10148,0
102403,19730610,10151,0
102403,19730611,10167,0
102403,19730612,10165,0
102403,19730613,10175,0
102403,19730614,10250,0
102403,19730615,10270,0
102403,19730616,10204,0
102403,19730617,10163,0
102403,19730618,10170,0
102403,19730619,10147,0
102403,19730620,10122,0
102403,19730621,10173,0
102403,19730622,10147,0
102403,19730623,10110,0
102403,19730624,10167,0
102403,19730625,10182,0
102403,19730626,10188,0
102403,19730627,10179,0
102403,19730628,10170,0
102403,19730629,10213,0
102403,19730630,10222,0
102403,19730701,10204,0
102403,19730702,10209,0
102403,19730703,10209,0
102403,19730704,10162,0
102403,19730705,10112,0
102403,19730706,10118,0
102403,19730707,10163,0
102403,19730708,10164,0
102403,19730709,10158,0
102403,19730710,10181,0
102403,19730711,10169,0
102403,19730712,10127,0
102403,19730713,10123,0
102403,19730714,10060,0
102403,19730715,10027,0
102403,19730716,10068,0
102403,19730717,10109,0
102403,19730718,10131,0
102403,19730719,10146,0
102403,19730720,10119,0
102403,19730721,10118,0
102403,19730722,10142,0
102403,19730723,10136,0
102403,19730724,10084,0
102403,19730725,10086,0
