SOUID,DATE,SNOW_DEPTH,QUALITY
111530,19410101,-9999,9
111530,19410102,-9999,9
111530,19410103,-9999,9
111530,19410104,-9999,9
111530,19410105,-9999,9
111530,19410106,-9999,9
111530,19410107,-9999,9
111530,19410108,-9999,9
111530,19410109,-9999,9
111530,19410110,-9999,9
111530,19410111,-9999,9
111530,19410112,-9999,9
111530,19410113,-9999,9
111530,19410114,-9999,9
111530,19410115,-9999,9
111530,19410116,-9999,9
111530,19410117,-9999,9
111530,19410118,-9999,9
111530,19410119,-9999,9
111530,19410120,-9999,9
111530,19410121,-9999,9
111530,19410122,-9999,9
111530,19410123,-9999,9
111530,19410124,-9999,9
111530,19410125,-9999,9
111530,19410126,-9999,9
111530,19410127,-9999,9
111530,19410128,-9999,9
111530,19410129,-9999,9
111530,19410130,-9999,9
111530,19410131,-9999,9
111530,19410201,-9999,9
111530,19410202,-9999,9
111530,19410203,-9999,9
111530,19410204,-9999,9
111530,19410205,-9999,9
111530,19410206,-9999,9
111530,19410207,-9999,9
111530,19410208,-9999,9
111530,19410209,-9999,9
111530,19410210,-9999,9
111530,19410211,-9999,9
111530,19410212,-9999,9
111530,19410213,-9999,9
111530,19410214,-9999,9
111530,19410215,-9999,9
111530,19410216,-9999,9
111530,19410217,-9999,9
111530,19410218,-9999,9
111530,19410219,-9999,9
111530,19410220,-9999,9
111530,19410221,-9999,9
111530,19410222,-9999,9
111530,19410223,-9999,9
111530,19410224,-9999,9
111530,19410225,-9999,9
111530,19410226,-9999,9
111530,19410227,-9999,9
111530,19410228,-9999,9
111530,19410301,-9999,9
111530,19410302,-9999,9
111530,19410303,-9999,9
111530,19410304,-9999,9
111530,19410305,-9999,9
111530,19410306,-9999,9
111530,19410307,-9999,9
111530,19410308,-9999,9
111530,19410309,-9999,9
111530,19410310,-9999,9
111530,19410311,-9999,9
111530,19410312,-9999,9
111530,19410313,-9999,9
111530,19410314,-9999,9
111530,19410315,-9999,9
111530,19410316,-9999,9
111530,19410317,-9999,9
111530,19410318,-9999,9
111530,19410319,-9999,9
111530,19410320,-9999,9
111530,19410321,-9999,9
111530,19410322,-9999,9
111530,19410323,-9999,9
111530,19410324,-9999,9
111530,19410325,-9999,9
111530,19410326,-9999,9
111530,19410327,-9999,9
111530,19410328,-9999,9
111530,19410329,-9999,9
111530,19410330,-9999,9
111530,19410331,-9999,9
111530,19410401,-9999,9
111530,19410402,-9999,9
111530,19410403,-9999,9
111530,19410404,-9999,9
111530,19410405,-9999,9
111530,19410406,-9999,9
111530,19410407,-9999,9
111530,19410408,-9999,9
111530,19410409,-9999,9
111530,19410410,-9999,9
111530,19410411,-9999,9
111530,19410412,-9999,9
111530,19410413,-9999,9
111530,19410414,-9999,9
111530,19410415,-9999,9
111530,19410416,-9999,9
111530,19410417,-9999,9
111530,19410418,-9999,9
111530,19410419,-9999,9
111530,19410420,-9999,9
111530,19410421,-9999,9
111530,19410422,-9999,9
111530,19410423,-9999,9
111530,19410424,-9999,9
111530,19410425,-9999,9
111530,19410426,-9999,9
111530,19410427,-9999,9
111530,19410428,-9999,9
111530,19410429,-9999,9
111530,19410430,-9999,9
111530,19410501,-9999,9
111530,19410502,-9999,9
111530,19410503,-9999,9
111530,19410504,-9999,9
111530,19410505,-9999,9
111530,19410506,-9999,9
111530,19410507,-9999,9
111530,19410508,-9999,9
111530,19410509,-9999,9
111530,19410510,-9999,9
111530,19410511,-9999,9
111530,19410512,-9999,9
111530,19410513,-9999,9
111530,19410514,-9999,9
111530,19410515,-9999,9
111530,19410516,-9999,9
111530,19410517,-9999,9
111530,19410518,-9999,9
111530,19410519,-9999,9
111530,19410520,-9999,9
111530,19410521,-9999,9
111530,19410522,-9999,9
111530,19410523,-9999,9
111530,19410524,-9999,9
111530,19410525,-9999,9
111530,19410526,-9999,9
111530,19410527,-9999,9
111530,19410528,-9999,9
111530,19410529,-9999,9
111530,19410530,-9999,9
111530,19410531,-9999,9
111530,19410601,-9999,9
111530,19410602,-9999,9
111530,19410603,-9999,9
111530,19410604,-9999,9
111530,19410605,-9999,9
111530,19410606,-9999,9
111530,19410607,-9999,9
111530,19410608,-9999,9
111530,19410609,-9999,9
111530,19410610,-9999,9
111530,19410611,-9999,9
111530,19410612,-9999,9
111530,19410613,-9999,9
111530,19410614,-9999,9
111530,19410615,-9999,9
111530,19410616,-9999,9
111530,19410617,-9999,9
111530,19410618,-9999,9
111530,19410619,-9999,9
111530,19410620,-9999,9
111530,19410621,-9999,9
111530,19410622,-9999,9
111530,19410623,-9999,9
111530,19410624,-9999,9
111530,19410625,-9999,9
111530,19410626,-9999,9
111530,19410627,-9999,9
111530,19410628,-9999,9
111530,19410629,-9999,9
111530,19410630,-9999,9
111530,19410701,-9999,9
111530,19410702,-9999,9
111530,19410703,-9999,9
111530,19410704,-9999,9
111530,19410705,-9999,9
111530,19410706,-9999,9
111530,19410707,-9999,9
111530,19410708,-9999,9
111530,19410709,-9999,9
111530,19410710,-9999,9
111530,19410711,-9999,9
111530,19410712,-9999,9
111530,19410713,-9999,9
111530,19410714,-9999,9
111530,19410715,-9999,9
111530,19410716,-9999,9
111530,19410717,-9999,9
111530,19410718,-9999,9
111530,19410719,-9999,9
111530,19410720,-9999,9
111530,19410721,-9999,9
111530,19410722,-9999,9
111530,19410723,-9999,9
111530,19410724,-9999,9
111530,19410725,-9999,9
111530,19410726,-9999,9
111530,19410727,-9999,9
111530,19410728,-9999,9
111530,19410729,-9999,9
111530,19410730,-9999,9
111530,19410731,-9999,9
111530,19410801,-9999,9
111530,19410802,-9999,9
111530,19410803,-9999,9
111530,19410804,-9999,9
111530,19410805,-9999,9
111530,19410806,-9999,9
111530,19410807,-9999,9
111530,19410808,-9999,9
111530,19410809,-9999,9
111530,19410810,-9999,9
111530,19410811,-9999,9
111530,19410812,-9999,9
111530,19410813,-9999,9
111530,19410814,-9999,9
111530,19410815,-9999,9
111530,19410816,-9999,9
111530,19410817,-9999,9
111530,19410818,-9999,9
111530,19410819,-9999,9
111530,19410820,-9999,9
111530,19410821,-9999,9
111530,19410822,-9999,9
111530,19410823,-9999,9
111530,19410824,-9999,9
111530,19410825,-9999,9
111530,19410826,-9999,9
111530,19410827,-9999,9
111530,19410828,-9999,9
111530,19410829,-9999,9
111530,19410830,-9999,9
111530,19410831,-9999,9
111530,19410901,-9999,9
111530,19410902,-9999,9
111530,19410903,-9999,9
111530,19410904,-9999,9
111530,19410905,-9999,9
111530,19410906,-9999,9
111530,19410907,-9999,9
111530,19410908,-9999,9
111530,19410909,-9999,9
111530,19410910,-9999,9
111530,19410911,-9999,9
111530,19410912,-9999,9
111530,19410913,-9999,9
111530,19410914,-9999,9
111530,19410915,-9999,9
111530,19410916,-9999,9
111530,19410917,-9999,9
111530,19410918,-9999,9
111530,19410919,-9999,9
111530,19410920,-9999,9
111530,19410921,-9999,9
111530,19410922,-9999,9
111530,19410923,-9999,9
111530,19410924,-9999,9
111530,19410925,-9999,9
111530,19410926,-9999,9
111530,19410927,-9999,9
111530,19410928,-9999,9
111530,19410929,-9999,9
111530,19410930,-9999,9
111530,19411001,-9999,9
111530,19411002,-9999,9
111530,19411003,-9999,9
111530,19411004,-9999,9
111530,19411005,-9999,9
111530,19411006,-9999,9
111530,19411007,-9999,9
111530,19411008,-9999,9
111530,19411009,-9999,9
111530,19411010,-9999,9
111530,19411011,-9999,9
111530,19411012,-9999,9
111530,19411013,-9999,9
111530,19411014,-9999,9
111530,19411015,-9999,9
111530,19411016,-9999,9
111530,19411017,-9999,9
111530,19411018,-9999,9
111530,19411019,-9999,9
111530,19411020,-9999,9
111530,19411021,-9999,9
111530,19411022,-9999,9
111530,19411023,-9999,9
111530,19411024,-9999,9
111530,19411025,-9999,9
111530,19411026,-9999,9
111530,19411027,-9999,9
111530,19411028,-9999,9
111530,19411029,-9999,9
111530,19411030,-9999,9
111530,19411031,-9999,9
111530,19411101,-9999,9
111530,19411102,-9999,9
111530,19411103,-9999,9
111530,19411104,-9999,9
111530,19411105,-9999,9
111530,19411106,-9999,9
111530,19411107,-9999,9
111530,19411108,-9999,9
111530,19411109,-9999,9
111530,19411110,-9999,9
111530,19411111,-9999,9
111530,19411112,-9999,9
111530,19411113,-9999,9
111530,19411114,-9999,9
111530,19411115,-9999,9
111530,19411116,-9999,9
111530,19411117,-9999,9
111530,19411118,-9999,9
111530,19411119,-9999,9
111530,19411120,-9999,9
111530,19411121,-9999,9
111530,19411122,-9999,9
111530,19411123,-9999,9
111530,19411124,-9999,9
111530,19411125,-9999,9
111530,19411126,-9999,9
111530,19411127,-9999,9
111530,19411128,-9999,9
111530,19411129,-9999,9
111530,19411130,-9999,9
111530,19411201,-9999,9
111530,19411202,-9999,9
111530,19411203,-9999,9
111530,19411204,-9999,9
111530,19411205,-9999,9
111530,19411206,-9999,9
111530,19411207,-9999,9
111530,19411208,-9999,9
111530,19411209,-9999,9
111530,19411210,-9999,9
111530,19411211,-9999,9
111530,19411212,-9999,9
111530,19411213,-9999,9
111530,19411214,-9999,9
111530,19411215,-9999,9
111530,19411216,-9999,9
111530,19411217,-9999,9
111530,19411218,-9999,9
111530,19411219,-9999,9
111530,19411220,-9999,9
111530,19411221,-9999,9
111530,19411222,-9999,9
111530,19411223,-9999,9
111530,19411224,-9999,9
111530,19411225,-9999,9
111530,19411226,-9999,9
111530,19411227,-9999,9
111530,19411228,-9999,9
111530,19411229,-9999,9
111530,19411230,-9999,9
111530,19411231,-9999,9
111530,19420101,-9999,9
111530,19420102,-9999,9
111530,19420103,-9999,9
111530,19420104,-9999,9
111530,19420105,-9999,9
111530,19420106,-9999,9
111530,19420107,-9999,9
111530,19420108,-9999,9
111530,19420109,-9999,9
111530,19420110,-9999,9
111530,19420111,-9999,9
111530,19420112,-9999,9
111530,19420113,-9999,9
111530,19420114,-9999,9
111530,19420115,-9999,9
111530,19420116,-9999,9
111530,19420117,-9999,9
111530,19420118,-9999,9
111530,19420119,-9999,9
111530,19420120,-9999,9
111530,19420121,-9999,9
111530,19420122,-9999,9
111530,19420123,-9999,9
111530,19420124,-9999,9
111530,19420125,-9999,9
111530,19420126,-9999,9
111530,19420127,-9999,9
111530,19420128,-9999,9
111530,19420129,-9999,9
111530,19420130,-9999,9
111530,19420131,-9999,9
111530,19420201,-9999,9
111530,19420202,-9999,9
111530,19420203,-9999,9
111530,19420204,-9999,9
111530,19420205,-9999,9
111530,19420206,-9999,9
111530,19420207,-9999,9
111530,19420208,-9999,9
111530,19420209,-9999,9
111530,19420210,-9999,9
111530,19420211,-9999,9
111530,19420212,-9999,9
111530,19420213,-9999,9
111530,19420214,-9999,9
111530,19420215,-9999,9
