SOUID,DATE,SUNSHINE,QUALITY
129536,19460101,35,0
129536,19460102,0,0
129536,19460103,69,0
129536,19460104,60,0
129536,19460105,1,0
129536,19460106,0,0
129536,19460107,0,0
129536,19460108,28,0
129536,19460109,0,0
129536,19460110,0,0
129536,19460111,25,0
129536,19460112,29,0
129536,19460113,4,0
129536,19460114,17,0
129536,19460115,3,0
129536,19460116,69,0
129536,19460117,25,0
129536,19460118,24,0
129536,19460119,2,0
129536,19460120,1,0
129536,19460121,0,0
129536,19460122,0,0
129536,19460123,0,0
129536,19460124,49,0
129536,19460125,0,0
129536,19460126,0,0
129536,19460127,0,0
129536,19460128,0,0
129536,19460129,0,0
129536,19460130,12,0
129536,19460131,28,0
129536,19460201,19,0
129536,19460202,0,0
129536,19460203,5,0
129536,19460204,0,0
129536,19460205,17,0
129536,19460206,0,0
129536,19460207,0,0
129536,19460208,13,0
129536,19460209,0,0
129536,19460210,28,0
129536,19460211,11,0
129536,19460212,0,0
129536,19460213,50,0
129536,19460214,89,0
129536,19460215,0,0
129536,19460216,28,0
129536,19460217,4,0
129536,19460218,0,0
129536,19460219,0,0
129536,19460220,21,0
129536,19460221,7,0
129536,19460222,43,0
129536,19460223,0,0
129536,19460224,52,0
129536,19460225,0,0
129536,19460226,1,0
129536,19460227,39,0
129536,19460228,38,0
129536,19460301,0,0
129536,19460302,27,0
129536,19460303,0,0
129536,19460304,0,0
129536,19460305,70,0
129536,19460306,81,0
129536,19460307,7,0
129536,19460308,0,0
129536,19460309,0,0
129536,19460310,0,0
129536,19460311,53,0
129536,19460312,66,0
129536,19460313,57,0
129536,19460314,0,0
129536,19460315,36,0
129536,19460316,42,0
129536,19460317,4,0
129536,19460318,106,0
129536,19460319,108,0
129536,19460320,110,0
129536,19460321,17,0
129536,19460322,82,0
129536,19460323,102,0
129536,19460324,0,0
129536,19460325,16,0
129536,19460326,103,0
129536,19460327,113,0
129536,19460328,112,0
129536,19460329,110,0
129536,19460330,97,0
129536,19460331,107,0
129536,19460401,92,0
129536,19460402,108,0
129536,19460403,113,0
129536,19460404,112,0
129536,19460405,51,0
129536,19460406,61,0
129536,19460407,57,0
129536,19460408,78,0
129536,19460409,89,0
129536,19460410,7,0
129536,19460411,126,0
129536,19460412,121,0
129536,19460413,124,0
129536,19460414,117,0
129536,19460415,117,0
129536,19460416,98,0
129536,19460417,85,0
129536,19460418,92,0
129536,19460419,2,0
129536,19460420,130,0
129536,19460421,130,0
129536,19460422,11,0
129536,19460423,66,0
129536,19460424,88,0
129536,19460425,112,0
129536,19460426,132,0
129536,19460427,52,0
129536,19460428,71,0
129536,19460429,84,0
129536,19460430,60,0
129536,19460501,121,0
129536,19460502,136,0
129536,19460503,131,0
129536,19460504,93,0
129536,19460505,79,0
129536,19460506,64,0
129536,19460507,69,0
129536,19460508,2,0
129536,19460509,97,0
129536,19460510,127,0
129536,19460511,93,0
129536,19460512,74,0
129536,19460513,34,0
129536,19460514,33,0
129536,19460515,0,0
129536,19460516,42,0
129536,19460517,47,0
129536,19460518,109,0
129536,19460519,126,0
129536,19460520,84,0
129536,19460521,0,0
129536,19460522,6,0
129536,19460523,24,0
129536,19460524,52,0
129536,19460525,81,0
129536,19460526,0,0
129536,19460527,103,0
129536,19460528,141,0
129536,19460529,80,0
129536,19460530,141,0
129536,19460531,71,0
129536,19460601,28,0
129536,19460602,31,0
129536,19460603,91,0
129536,19460604,70,0
129536,19460605,90,0
129536,19460606,143,0
129536,19460607,76,0
129536,19460608,135,0
129536,19460609,85,0
129536,19460610,8,0
129536,19460611,7,0
129536,19460612,42,0
129536,19460613,0,0
129536,19460614,77,0
129536,19460615,60,0
129536,19460616,23,0
129536,19460617,37,0
129536,19460618,21,0
129536,19460619,40,0
129536,19460620,95,0
129536,19460621,0,0
129536,19460622,0,0
129536,19460623,0,0
129536,19460624,1,0
129536,19460625,55,0
129536,19460626,75,0
129536,19460627,97,0
129536,19460628,147,0
129536,19460629,136,0
129536,19460630,141,0
129536,19460701,133,0
129536,19460702,140,0
129536,19460703,143,0
129536,19460704,146,0
129536,19460705,95,0
129536,19460706,0,0
129536,19460707,0,0
129536,19460708,0,0
129536,19460709,50,0
129536,19460710,136,0
129536,19460711,116,0
129536,19460712,132,0
129536,19460713,138,0
129536,19460714,64,0
129536,19460715,13,0
129536,19460716,114,0
129536,19460717,106,0
129536,19460718,56,0
129536,19460719,87,0
129536,19460720,81,0
129536,19460721,10,0
129536,19460722,58,0
129536,19460723,88,0
129536,19460724,127,0
129536,19460725,109,0
129536,19460726,141,0
129536,19460727,113,0
129536,19460728,12,0
129536,19460729,41,0
129536,19460730,121,0
129536,19460731,110,0
129536,19460801,63,0
129536,19460802,132,0
129536,19460803,140,0
129536,19460804,136,0
129536,19460805,103,0
129536,19460806,97,0
129536,19460807,118,0
129536,19460808,113,0
129536,19460809,69,0
129536,19460810,123,0
129536,19460811,46,0
129536,19460812,117,0
129536,19460813,40,0
129536,19460814,132,0
129536,19460815,71,0
129536,19460816,89,0
129536,19460817,73,0
129536,19460818,3,0
129536,19460819,0,0
129536,19460820,67,0
129536,19460821,48,0
129536,19460822,12,0
129536,19460823,72,0
129536,19460824,123,0
129536,19460825,71,0
129536,19460826,22,0
129536,19460827,101,0
